Conference,Year,Authors,Item Title,Item DOI,URL,MSR,SA,Pilot,RQ1: Reasons,RQ1: Study type,RQ1: Activities,RQ2: Data sources,RQ3: Techniques,RQ4: Information type
2019 IEEE/ACM 16th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2019,M. Ahmad; M. ??. Cinn??ide,Impact of Stack Overflow Code Snippets on Software Cohesion: A Preliminary Study,10.1109/MSR.2019.00050,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8816758,Yes,Yes,No,[Tools_used_Developers][Achieve_quality_attributes][Identify_and_resolve_issues_in_existing_system],[Evaluate_approach],[architectural_evaluation],[stackOverflow],[code_analysis][statistical_analysis],[metrics]
2020 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2020,A. Sejfia; N. Medvidovié?,Strategies for Pattern-Based Detection of Architecturally-Relevant Software Vulnerabilities,10.1109/ICSA47634.2020.00017,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101224,Yes,Yes,Yes,[Identify_and_resolve_issues_in_existing_system][Industrial_financial_costs],[Evaluate_approach][Exploratory],[architectural_analysis],[vulnerabilities_reports][source code repository],[code_analysis][machine_learning][model_analysis],[architectural_quality_issues]
ECSA,2020,Rasmus SvenssonAdell TatrousFrancis Palma,Defining Design Patterns for IoT APIs,10.1007/978-3-030-59155-7_32,http://link.springer.com/chapter/10.1007/978-3-030-59155-7_32,Yes,Yes,No,"[Achieve_quality_attributes][Architectural_solutions_growth,_limitations_and_complexities]",[Exploratory],[architectural_synthesis],[API_Specification],[qualitative_analysis],[architectural_solutions]
2020 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2020,X. Wang; L. Xiao; K. Huang; B. Chen; Y. Zhao; Y. Liu,DesignDiff: Continuously Modeling Software Design Difference from Code Revisions,10.1109/ICSA47634.2020.00025,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101195,Yes,Yes,No,[Support_software_process][Identify_and_resolve_issues_in_existing_system][Support_architectural_program_comprehension][Industrial_financial_costs],[Evaluate_approach],Not mentioned,[source code repository],[code_analysis][visualization],[architectural_components]
2020 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2020,Y. Zhang; B. Liu; L. Dai; K. Chen; X. Cao,Automated Microservice Identification in Legacy Systems with Functional and Non-Functional Metrics,10.1109/ICSA47634.2020.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101217,Yes,Yes,No,[Industrial_financial_costs][Support_software_process][Limitations_in_existing_tools],[Evaluate_approach],[architectural_synthesis],[system_logs],[model_analysis][machine_learning],[architectural_components]
2020 IEEE International Conference on [::Software::] [::Architecture::] (ICSA),2020,Y. Zhao; L. Xiao; X. Wang; Z. Chen; B. Chen; Y. Liu,Butterfly Space: An Architectural Approach for Investigating Performance Issues,10.1109/ICSA47634.2020.00027,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9101223,Yes,Yes,No,[Identify_and_resolve_issues_in_existing_system][Achieve_quality_attributes],[Evaluate_approach],[architectural_analysis][architectural_evaluation],[source code repository][issues_tracking][runtime_performance],[code_analysis][qualitative_analysis][model_analysis],[architectural_quality_issues]
2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,I. Malavolta; K. Chinnappan; S. Swanborn; G. A. Lewis; P. Lago,Mining the ROS ecosystem for Green Architectural Tactics in Robotics and an Empirical Evaluation,10.1109/MSR52588.2021.00042,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463098,Yes,Yes,Yes,[Achieve_quality_attributes][Capture_architectural_knowledge],[Exploratory],[architectural_synthesis],[source code repository][stackOverflow][Pullrequests][issues_tracking][architecture_design_documentation],[information retrieval][qualitative_analysis],[architectural_solutions]
2021 IEEE 18th International Conference on [::Software::] [::Architecture::] (ICSA),2021,E. Ntentos; U. Zdun; K. Plakidas; S. Geiger,Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,10.1109/ICSA51549.2021.00012,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9426761,Yes,Yes,Yes,"[Identify_and_resolve_issues_in_existing_system][Architectural_solutions_growth,_limitations_and_complexities][Save_manual_efforts]",[Evaluate_approach],[architectural_analysis],[architectural_models],[model_analysis],[architectural_quality_issues]
2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,A. Uch??a; C. Barbosa; D. Coutinho; W. Oizumi; W. K. G. Assun???úo; S. R. Vergilio; J. A. Pereira; A. Oliveira; A. Garcia,Predicting Design Impactful Changes in Modern Code Review: A Large-Scale Empirical Study,10.1109/MSR52588.2021.00059,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463137,Yes,Yes,No,[Identify_and_resolve_issues_in_existing_system],[Evaluate_approach],Not mentioned,[source code repository],[code_analysis][machine_learning],[architectural_components]
2021 IEEE/ACM 18th International Conference on [::Mining::] [::Software::] [::Repositories::] (MSR),2021,A. -M. Chaniotaki; T. Sharma,Architecture Smells and Pareto Principle: A Preliminary Empirical Exploration,10.1109/MSR52588.2021.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463110,Yes,Yes,No,[Identify_and_resolve_issues_in_existing_system][Industrial_financial_costs],[Exploratory],Not mentioned,[source code repository],[code_analysis][statistical_analysis],[architectural_quality_issues]
